ProductName	FeaturesSelected(totValid:20 | max:2000)
fsm_vm_1	VM BEV CUR EUR COF
fsm_vm_2	VM BEV CUR DOL COF
fsm_vm_3	VM BEV CUR EUR TEA
fsm_vm_4	VM BEV CUR DOL TEA
fsm_vm_5	VM BEV CUR DOL COF TEA
fsm_vm_6	VM BEV CUR EUR COF TEA
fsm_vm_7	VM BEV CUR EUR COF TON
fsm_vm_8	VM BEV CUR DOL COF TON
fsm_vm_9	VM BEV CUR EUR TEA TON
fsm_vm_10	VM BEV CUR DOL TEA TON
fsm_vm_11	VM BEV CUR EUR CAP TON
fsm_vm_12	VM BEV CUR DOL CAP TON
fsm_vm_13	VM BEV CUR EUR COF TEA TON
fsm_vm_14	VM BEV CUR DOL COF TEA TON
fsm_vm_15	VM BEV CUR DOL COF CAP TON
fsm_vm_16	VM BEV CUR EUR COF CAP TON
fsm_vm_17	VM BEV CUR EUR TEA CAP TON
fsm_vm_18	VM BEV CUR DOL TEA CAP TON
fsm_vm_19	VM BEV CUR EUR COF TEA CAP TON
fsm_vm_20	VM BEV CUR DOL COF TEA CAP TON
